0,0.271,0.886,
-0.043,0.365,0.906,
-0.067,0.330,0.942,
-0.001,0.251,0.887,
0.029,0.180,0.907,
0.074,0.149,0.889,
0.099,0.241,0.851,
0.062,0.234,0.876,
0.019,0.200,0.979,
0.007,0⸮0.000,0.000,0.000,
-0.087,-0.031,1.061,
-0.081,-0.038,1.027,
-0.083,-0.025,1.026,
-0.056,-0.057,0.990,
-0.038,-0.059,0.990,
-0.008,-0.045,0.958,
0.039,-0.019,0.860,
0.099,0.004,0.766,
0.113,0.027,0.753,
0.050,0.080,0.864,
-0.059,0.144,1.016,
-0.120,0.205,0.974,
-0.105,0.267,0.874,
-0.096,0.195,0.880,
-0.059,0.161,0.998,
-0.035,0.153,1.108,
0.017,0.166,0.978,
0.071,0.188,0.943,
0.106,0.134,1.073,
0.129,0.079,1.385,
0.081,-0.004,1.662,
0.071,-0.061,1.762,
0.117,-0.168,1.726,
0.122,-0.201,1.685,
0.052,-0.153,1.563,
-0.015,-0.068,1.319,
-0.032,0.086,1.020,
0.004,0.200,0.765,
0.005,0.312,0.640,
-0.034,0.356,0.577,
-0.067,0.360,0.494,
-0.041,0.349,0.468,
0.011,0.339,0.403,
0.049,0.352,0.386,
0.033,0.307,0.397,
0.053,0.222,0.378,
0.088,0.123,0.431,
0.144,0.054,0.446,
0.133,0.012,0.453,
0.135,-0.010,0.439,
0.152,-0.059,0.515,
0.165,-0.095,0.629,
0.143,-0.104,0.739,
0.081,-0.133,0.793,
0.083,-0.147,0.803,
0.070,-0.184,0.964,
-0.020,-0.198,1.278,
-0.080,-0.177,1.421,
-0.086,-0.131,1.308,
-0.112,-0.081,1.325,
-0.166,-0.053,1.450,
-0.145,-0.070,1.485,
-0.093,-0.084,1.546,
-0.052,-0.095,1.510,
-0.056,-0.072,1.506,
-0.048,-0.056,1.459,
-0.022,-0.047,1.409,
0.020,-0.045,1.386,
-0.016,-0.002,1.350,
-0.057,0.070,1.221,
-0.101,0.133,1.102,
-0.103,0.174,0.951,
-0.098,0.184,0.834,
-0.089,0.200,0.711,
-0.101,0.212,0.624,
-0.078,0.194,0.548,
-0.018,0.166,0.519,
0.019,0.132,0.496,
0.074,0.088,0.400,
0.119,0.054,0.313,
0.124,-0.004,0.410,
0.132,-0.053,0.555,
0.162,-0.058,0.565,
0.149,-0.051,0.522,
0.095,-0.042,0.619,
0.032,-0.046,0.815,
-0.006,-0.061,0.865,
-0.046,-0.066,0.889,
-0.069,-0.102,0.983,
-0.076,-0.132,1.188,
-0.099,-0.118,1.271,
-0.141,-0.092,1.265,
-0.147,-0.085,1.304,
-0.136,-0.098,1.409,
-0.150,-0.087,1.435,
-0.187,-0.073,1.424,
-0.185,-0.088,1.437,
-0.151,-0.102,1.463,
-0.139,-0.099,1.488,
-0.135,-0.088,1.436,
-0.114,-0.045,1.367,
-0.095,-0.037,1.319,
-0.078,-0.037,1.254,
-0.051,0.001,1.137,
-0.096,0.025,1.033,
-0.162,0.097,0.926,
-0.198,0.194,0.750,
-0.177,0.252,0.605,
-0.114,0.249,0.530,
-0.019,0.225,0.478,
0.027,0.204,0.461,
0.014,0.191,0.473,
0.002,0.202,0.446,
0.003,0.176,0.417,
0.019,0.131,0.386,
0.051,0.066,0.400,
0.057,0.015,0.529,
0.061,-0.005,0.630,
0.071,-0.036,0.651,
0.033,-0.054,0.706,
-0.025,-0.073,0.845,
-0.046,-0.134,0.972,
-0.071,-0.122,1.097,
-0.106,-0.125,1.186,
-0.083,-0.128,1.143,
-0.105,-0.115,1.163,
-0.179,-0.104,1.305,
-0.158,-0.130,1.373,
-0.135,-0.127,1.409,
-0.178,-0.098,1.487,
-0.212,-0.068,1.531,
-0.199,-0.077,1.476,
-0.156,-0.071,1.444,
-0.137,-0.062,1.412,
-0.127,-0.030,1.354,
-0.110,0.016,1.262,
-0.101,0.021,1.210,
-0.095,0.071,1.149,
-0.104,0.112,1.080,
-0.134,0.110,1.004,
-0.135,0.165,0.929,
-0.119,0.189,0.811,
-0.076,0.207,0.673,
-0.036,0.208,0.564,
-0.021,0.218,0.484,
-0.021,0.209,0.398,
-0.009,0.195,0.337,
0.026,0.129,0.287,
0.058,0.047,0.253,
0.067,-0.021,0.315,
0.032,-0.042,0.444,
0.013,-0.057,0.537,
0.002,-0.113,0.577,
